symbol,sector,industry,country,shares_outstanding
HUBG.O,Industrials,Air Freight & Logistics,United States of America,72878131
HUBS.K,Information Technology,Software,United States of America,52667000
HUHU.O,Industrials,Construction & Engineering,China,5000000
HUM,Health Care,Health Care Providers & Services,United States of America,198718810
HUMA.O,Health Care,Biotechnology,United States of America,103673728
HUN,Materials,Chemicals,United States of America,262751907
HURC.O,Industrials,Machinery,United States of America,6548838
HURN.O,Industrials,Professional Services,United States of America,21316441
HVT,Consumer Discretionary,Specialty Retail,United States of America,32024000
HWC.O,Financials,Banks,United States of America,92935000
HWH.O,Communication Services,Interactive Media & Services,United States of America,16223246
HWKN.O,Materials,Chemicals,United States of America,20790261
HWM,Industrials,Aerospace & Defense,United States of America,405431361
HXL,Industrials,Aerospace & Defense,United States of America,111600000
HY,Industrials,Machinery,United States of America,17185630
HYFM.O,Industrials,Machinery,United States of America,45789890
HYLN.K,Industrials,Machinery,United States of America,183108379
HYPR.O,Health Care,Health Care Equipment & Supplies,United States of America,71896237
HZO,Consumer Discretionary,Specialty Retail,United States of America,29898545
IART.O,Health Care,Health Care Equipment & Supplies,United States of America,90920000
IAS.O,Communication Services,Media,United States of America,158757620
IAUX.K,Materials,Metals & Mining,United States of America,298502334
IBCP.O,Financials,Banks,United States of America,20895714
IBEX.O,Industrials,Professional Services,United States of America,18585028
IBG.O,Consumer Staples,Beverages,Australia,10022480
IBKR.O,Financials,Capital Markets,United States of America,109021106
IBO,Health Care,Pharmaceuticals,United States of America,11500000
IBOC.O,Financials,Banks,United States of America,96466900
IBP,Consumer Discretionary,Household Durables,United States of America,33587701
IBRX.O,Health Care,Biotechnology,United States of America,671031144
IBTA.K,Communication Services,Media,United States of America,30241224
ICE,Financials,Capital Markets,United States of America,651000000
ICFI.O,Industrials,Professional Services,United States of America,23982132
ICHR.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,38296981
ICLR.O,Health Care,Life Sciences Tools & Services,Ireland; Republic of,80756860
ICMB.O,Financials,Capital Markets,United States of America,14403752
ICU.O,Health Care,Health Care Equipment & Supplies,United States of America,1904611
ICUI.O,Health Care,Health Care Equipment & Supplies,United States of America,24144000
IDA,Utilities,Electric Utilities,United States of America,53962000
IDN.O,Information Technology,Software,United States of America,19354335
IDT,Communication Services,Diversified Telecommunication Services,United States of America,31449000
IDXX.O,Health Care,Health Care Equipment & Supplies,United States of America,107836000
IDYA.O,Health Care,Biotechnology,United States of America,86503509
IE,Materials,Metals & Mining,United States of America,120000000
IESC.O,Industrials,Construction & Engineering,United States of America,22049529
IEX,Industrials,Machinery,United States of America,90100000
IFF,Materials,Chemicals,United States of America,255682329
IFRX.O,Health Care,Biotechnology,Germany,58883272
IFS,Financials,Banks,Peru,115447705
IGIC.O,Financials,Insurance,Jordan,44504679
IGMS.O,Health Care,Biotechnology,United States of America,58681132
IGT,Consumer Discretionary,"Hotels, Restaurants & Leisure",United Kingdom,207000000
IHRT.O,Communication Services,Media,United States of America,145646651
IHS,Communication Services,Diversified Telecommunication Services,United Kingdom,332519000
IIIN.K,Industrials,Building Products,United States of America,19452000
IIIV.O,Information Technology,Software,United States of America,23882035
IKNA.O,Health Care,Pharmaceuticals,United States of America,48258111
IKT.O,Health Care,Biotechnology,United States of America,6186280
ILAG.O,Industrials,Building Products,Hong Kong,18060000
ILMN.O,Health Care,Life Sciences Tools & Services,United States of America,200000000
IMAX.K,Communication Services,Entertainment,Canada,52946200
IMKTA.O,Consumer Staples,Consumer Staples Distribution & Retail,United States of America,18994376
IMMX.O,Health Care,Biotechnology,United States of America,19994719
IMNM.O,Health Care,Biotechnology,United States of America,43251778
IMRX.O,Health Care,Biotechnology,United States of America,29271629
IMVT.O,Health Care,Biotechnology,United States of America,145582999
IMXI.O,Financials,Financial Services,United States of America,39673271
INBK.O,Financials,Banks,United States of America,8667894
INBX.O,Health Care,Biotechnology,United States of America,47369511
INCY.O,Health Care,Biotechnology,United States of America,193434305
INDB.O,Financials,Banks,United States of America,42500611
INFA.K,Information Technology,Software,United States of America,303535000
INFN.O,Information Technology,Communications Equipment,United States of America,230994000
INFU.K,Health Care,Health Care Providers & Services,United States of America,21196851
INGM.K,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,234825581
INGN.O,Health Care,Health Care Equipment & Supplies,United States of America,23324750
INGR.K,Consumer Staples,Food Products,United States of America,77800000
INHD.O,Materials,Metals & Mining,United States of America,2279960
INKT.O,Health Care,Biotechnology,United States of America,34599119
INMB.O,Health Care,Biotechnology,United States of America,17950776
INMD.O,Health Care,Health Care Equipment & Supplies,Israel,87583673
INNV.O,Health Care,Health Care Providers & Services,United States of America,136152858
INSE.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,26219021
INSG.O,Information Technology,Communications Equipment,United States of America,14990712
INSP.K,Health Care,Health Care Equipment & Supplies,United States of America,29740176
INSW.K,Energy,"Oil, Gas & Consumable Fuels",United States of America,48925562
INTA.O,Information Technology,Software,United States of America,74624000
INTC.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,4330000000
INTJ.O,Communication Services,Media,Hong Kong,11250000
INTR.O,Financials,Banks,Brazil,439701921
INTS.O,Health Care,Biotechnology,United States of America,13709377
INTT.K,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,12241925
INTU.O,Information Technology,Software,United States of America,280268000
INV.O,Financials,Capital Markets,United States of America,15088421
INVA.O,Health Care,Pharmaceuticals,United States of America,95312000
INVX.K,Energy,Energy Equipment & Services,United States of America,34386577
INVZ.O,Information Technology,"Electronic Equipment, Instruments & Components",Israel,165387098
INZY.O,Health Care,Biotechnology,United States of America,61768771
IOBT.O,Health Care,Biotechnology,Denmark,65880914
IONQ.K,Information Technology,"Technology Hardware, Storage & Peripherals",United States of America,206611704
IONS.O,Health Care,Biotechnology,United States of America,157908815
IOR,Financials,Financial Services,United States of America,4173675
IOSP.O,Materials,Chemicals,United States of America,29554500
IOT,Information Technology,Software,United States of America,545973529
IP,Materials,Containers & Packaging,United States of America,448900000
IPAR.O,Consumer Staples,Personal Care Products,United States of America,41986325
IPG,Communication Services,Media,United States of America,372400000
IPGP.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,56632974
IPI,Materials,Chemicals,United States of America,12807316
IPSC.O,Health Care,Biotechnology,United States of America,60335701
IPW.O,Industrials,Trading Companies & Distributors,United States of America,31359899
IQV,Health Care,Life Sciences Tools & Services,United States of America,258200000
IR,Industrials,Machinery,United States of America,430745964
